Frequency,Word,Reading,Type,Meaning
1199,設置する,,verb,"set up, place"
1200,極めて,,adverb,"very, extremely"
1201,入院,,noun,"hospitalization, admission to hospital"
1201,入院する,,verb,hospitalize
1202,積極的,,na-adjective,"active, positive, aggressive"
1203,事故,,noun,"accident, incident, trouble"
1204,たたく,,verb,"slap, hit, knock, clap"
1205,としても,,compound,"assuming, even if"
1206,会話,,noun,conversation
1206,会話する,,verb,"talk, chat"
1207,方々,かたがた,noun,people
1208,要る,,verb,"need, want"
1209,鳥,,noun,bird; poultry
1210,何とか,,adverb,somehow
1210,何とか,,noun,something
1211,市,し,noun,"city, town"
1212,眠る,,verb,sleep
1213,自信,,noun,confidence
1214,固い,,i-adjective,"hard, solid, stiff"
1215,戦後,,"adverb, noun","postwar, after the war"
1216,値段,,noun,"price, value, cost"
1217,通じる,,verb,"lead; communicate, understand"
1218,動かす,,verb,"move, shift, operate"
1219,トイレ,,noun,"toilet, restroom, bathroom"
1220,あんな,,adnominal,"such, like that"
1221,避ける,,verb,"avoid, keep away from"
1222,お勧め,,noun,"recommendation, advice"
1222,お勧めする,,verb,"recommend, advise"
1223,野球,,noun,baseball
1224,穴,,noun,"hole, pit"
1225,クリック,,noun,click
1225,クリックする,,verb,click
1226,捕らえる,,verb,"catch, grasp, seize, arrest"
1227,昨年,,"adverb, noun",last year
1228,減少,,noun,"decrease, reduction"
1228,減少する,,verb,"decline, decrease"
1229,洗う,,verb,wash
1230,左,,noun,left
1231,珍しい,,i-adjective,"rare, unusual, unique"
1232,尋ねる,,verb,"ask, look for"
1233,一言,,noun,"one word, single word, brief comment"
1234,男の子,,noun,"boy, male child"
1235,制度,,noun,"system, institution"
1236,買い物,,noun,shopping
1236,買い物する,,verb,go shopping
1237,チーム,,noun,team
1238,登場,,noun,"entry, appearance"
1238,登場する,,verb,"appear, emerge"
1239,期間,,noun,"period, term, interval"
1240,金額,,noun,amount of money
1241,塩,,noun,salt
1242,奥,,noun,"inner part, back; bottom"
1243,九,,numeral,nine
1244,まだまだ,,adverb,"still, still more"
1245,習う,,verb,"take lessons, be taught, learn"
1246,番組,,noun,"show, program"
1247,一時,,"adverb, noun","at one time, temporary, for a while"
1248,ケース,,noun,case
1249,傾向,,noun,"tendency, trend, inclination"
1250,日々,,adverb,"every day, daily"
1250,日々,,noun,days
1251,拡大,,noun,"enlargement, expansion"
1251,拡大する,,verb,"enlarge, expand"
1252,レベル,,noun,level
1253,よろしく,,adverb,"well, properly, best regards"
1254,疑問,,noun,"question, problem, doubt"
1255,それなり,,noun,"in itself, as it is, in its way"
1256,現状,,noun,"present condition, existing state"
1257,ドイツ,,noun,Germany
1258,取り上げる,,verb,"pick up, adopt; take away"
1259,主に,,adverb,"mainly, for the most part, chiefly"
1260,伯母,,noun,aunt
1261,パン,,noun,bread
1262,クラス,,noun,class
1263,肉,,noun,"meat, flesh, fat"
1264,なるべく,,adverb,"as ... as possible, if possible"
1265,指,,noun,finger
1266,態度,,noun,"attitude, manner, behavior"
1267,地,,noun,"earth, ground, land, place"
1268,全国,,noun,"nationwide, whole country, national"
1269,答え,,noun,"answer, solution"
1270,世話,,noun,care
1270,世話する,,verb,"take care of, look after"
1271,差,,noun,"difference, gap, margin"
1272,一切,,"adverb, noun","all, entirely, not ... at all"
1273,食う,,verb,"eat, consume"
1274,文章,,noun,"sentence; writing, text"
1275,背景,,noun,"background, context, setting"
1276,負担,,noun,"burden, load, charge"
1276,負担する,,verb,bear
1277,事情,,noun,"circumstance, situation, reason"
1278,メンバー,,noun,"member, participant"
1279,ようやく,,adverb,"at last, gradually, barely"
1280,地方,ちほう,noun,"area, district, countryside"
1281,豊か,,na-adjective,"abundant, plentiful, rich"
1282,助ける,,verb,"help, rescue, save"
1283,詰まる,,verb,"be blocked, be packed, be clogged"
1284,一個,,noun,"one, piece"
1285,大阪,,noun,Osaka
1286,果たす,,verb,"carry out, achieve, fulfil"
1287,支える,,verb,"support, hold, sustain"
1288,抱える,,verb,"hold, carry, employ"
1289,大分,,adverb,"very, a lot, much"
1290,追う,,verb,"follow, chase, pursue"
1291,権利,,noun,"right, claim, entitlement"
1292,何々,,pronoun,"such and such, this and that"
1293,計算,,noun,calculation
1293,計算する,,verb,"calculate, count, figure"
1294,痛み,,noun,"pain, ache"
1295,返す,,verb,return; repay; turn over
1296,庭,,noun,"garden, yard"
1297,納得,,noun,agreement
1297,納得する,,verb,"understand, be convinced"
1298,組織,,noun,"organization, structure"
1298,組織する,,verb,organize
1299,能力,,noun,"ability, capacity, power; proficiency"
1300,人口,,noun,population
1301,薄い,,i-adjective,"thin, light, weak"
1302,注,,noun,"note, annotation, comment"
1303,二回,,noun,twice
1304,治療,,noun,"cure, treatment, therapy"
1304,治療する,,verb,"treat, cure"
1305,昼,,noun,noon; daytime
1306,を通じて,,compound,"throughout, across, through"
1307,せっかく,,adverb,"with effort, take the trouble to"
1308,赤い,,i-adjective,red
1309,比較的,,na-adjective,"comparative, relative"
1310,サービス,,noun,service
1310,サービスする,,verb,"attend, serve"
1311,何人,,noun,how many people
1312,荷物,,noun,"baggage, parcel, burden"
1313,魅力,,noun,"charm, attraction, appeal"
1314,現場,,noun,"field, scene, spot"
1315,道具,,noun,"tool, instrument"
1316,遠く,,adverb,"far, remote"
1316,遠く,,noun,distance
1317,中学,,noun,junior high school
1318,村,,noun,village
1319,システム,,noun,system
1320,あそこ,,pronoun,"there, over there"
1321,十時,,noun,ten o’clock
1322,息,,noun,"breath, respiration"
1323,伝わる,,verb,"spread, descend, travel"
1324,撮影,,noun,shooting
1324,撮影する,,verb,"shoot, photograph"
1325,指導,,noun,guidance
1325,指導する,,verb,"guide, coach"
1326,生かす,,verb,keep alive; make use of
1327,韓国,,noun,"Korea, South Korea, Republic of Korea"
1328,字,じ,noun,"letter, character; handwriting"
1329,指定,,noun,appointment
1329,指定する,,verb,specify
1330,経営,,noun,management
1330,経営する,,verb,"manage, run"
1331,あらゆる,,adnominal,"every, all, any"
1332,価値,,noun,"value, worth"
1333,南,,noun,south
1334,成立,,noun,completion
1334,成立する,,verb,"establish, conclude, come into existence"
1335,季節,,noun,season
1336,導入,,noun,introduction
1336,導入する,,verb,introduce
1337,ことにする,,auxiliary,"decide to, pretend to"
1338,一枚,,noun,"one (sheet, slice)"
1339,い,,discourse particle,QUESTION
1340,先輩,,noun,"senior, elder"
1341,全員,,"adverb, noun","all members, everyone"
1342,にしても,,compound,"even if, even though"
1343,四人,,noun,four people
1344,人物,,noun,"person, character"
1345,距離,,noun,distance
1346,泊まる,,verb,stay
1347,充実,,noun,fullness
1347,充実する,,verb,"enrich, fullfill"
1348,によると,,compound,according to
1349,コミュニケーション,,noun,communication
1349,コミュニケーションする,,verb,communicate
1350,散歩,,"noun, verb","walk, stroll"
1351,グループ,,noun,"group, team"
1352,黒い,,i-adjective,black
1353,九時,,noun,nine o’clock
1354,石,,noun,"stone, rock"
1355,エネルギー,,noun,"energy, power"
1356,挨拶,,noun,greeting
1356,挨拶する,,verb,greet
1357,愛,,noun,"love, affection"
1358,比較,,noun,comparison
1358,比較する,,verb,compare
1359,結ぶ,,verb,"tie, connect, unite"
1360,移る,,verb,"move, transfer, shift"
1361,従来,,"adverb, noun","up to now, conventional, traditional"
1362,嫌い,,na-adjective,"dislike, hate"
1363,注目,,noun,attention
1363,注目する,,verb,"pay attention, watch"
1364,携帯,,noun,portable
1364,携帯する,,verb,carry
1365,休む,,verb,"take a rest, be absent from"
1366,甘い,,i-adjective,sweet; soft
1367,最高,,"noun, na-adjective","best, highest"
1368,弟,,noun,younger brother
1369,卵,,noun,"egg, spawn"
1370,服,,noun,"clothes, dress, outfit"
1371,赤ちゃん,,noun,"baby, infant"
1372,始め,,"adverb, noun","beginning, origin"
1373,要求,,noun,"demand, request, claim"
1373,要求する,,verb,"demand, request, claim"
1374,紙,,noun,paper
1375,妹,,noun,younger sister
1376,額,がく,noun,amount of money; frame
1377,交ぜる,,verb,"mix, shuffle"
1378,抱く,,verb,"have, hold, embrace"
1379,出来上がる,,verb,"be completed, be finished, be ready"
1380,小説,,noun,"novel, fiction, story"
1381,訪れる,,verb,"visit, call on, arrive"
1382,汗,,noun,"sweat, perspiration"
1383,特別,,na-adjective,"special, particular"
1384,改善,,noun,"improvement, reform"
1384,改善する,,verb,improve
1385,休み,,noun,holiday; rest; be closed
1386,咲く,,verb,bloom
1387,基本,,noun,"foundation, basis, basic"
1388,暑い,,i-adjective,"hot, warm"
1389,向く,,verb,"turn, face, look"
1390,ますます,,adverb,"more and more, increasingly"
1391,最終的,,na-adjective,"final, last, ultimate"
1392,感情,,noun,"feeling, emotion"
1393,我慢,,noun,"patience, endurance, tolerance"
1393,我慢する,,verb,"be patient, endure"
1394,浮かぶ,,verb,"float, rise"
1395,利益,,noun,"profit, benefit, gain"
1396,先日,,"adverb, noun","the other day, recently"
1397,裏,,noun,"reverse, back; rear"
1398,もたらす,,verb,"bring, cause,"
1399,姉,,noun,elder sister
1400,問う,,verb,"ask, question; charge"
1401,継ぐ,,verb,"succeed, take over"
1402,北海道,,noun,Hokkaido
1403,構成,,noun,"constitution, structure"
1403,構成する,,verb,compose
1404,反応,,noun,"reaction, response"
1404,反応する,,verb,respond
1405,ナイフ,,noun,knife
1406,（お）じいさん,,noun,grandfather
1407,新宿,,noun,Shinjuku (place name)
1408,活用,,noun,application
1408,活用する,,verb,"exploit, take advantage of"
1409,正直,,noun,honesty
1409,正直,,na-adjective,"honest, truthful"
1409,正直,,adverb,honestly
1410,黒,,noun,black
1411,スーパー,,noun,supermarket
1412,プロ,,noun,"professional, pro"
1413,渡す,,verb,"carry across, hand, transfer"
1414,掲げる,,verb,"hang out, hold up"
1415,京都,,noun,Kyoto
1416,就職,,noun,job hunting
1416,就職する,,verb,"find employment, get a job"
1417,立派,,na-adjective,"fine, splendid, great"
1418,舞台,,noun,"stage, scene"
1419,現地,,noun,"field, on-site, local"
1420,数字,,noun,"number, figure"
1421,提出,,noun,submission
1421,提出する,,verb,"submit, hand in"
1422,コンピュータ,,noun,computer
1423,東京都,,noun,"Tokyo, Tokyo metropolitan government, Tokyo metropolitan area"
1424,から,,conjunction,because
1425,弾く,ひく,verb,play (musical instrument)
1426,自宅,,noun,"home, house"
1427,腹,,noun,"belly, stomach"
1428,喜び,,noun,"pleasure, delight"
1429,しようがない、しょうがない,,i-adjective,"it can’t be helped, nothing can be done"
1430,風呂,,noun,bath
1431,香り,,noun,"smell, scent"
1432,スキー,,noun,ski; skiing
1433,構う,,verb,"mind, care about"
1434,受け入れる,,verb,"receive, accept, agree"
1435,お菓子,,noun,"sweets, snack food"
1436,無料,,noun,"free, no charge"
1437,付き合い,,noun,"association, acquaintance"
1438,私共,,pronoun,we
1439,被害,,noun,"damage, harm"
1440,椅子,,noun,chair
1441,直す,,verb,"fix, repair, mend"
1442,桜,,noun,cherry tree; cherry blossom
1443,回答,,noun,"answer, response, reply"
1443,回答する,,verb,"answer, respond, reply"
1444,ゲーム,,noun,game
1445,ことはない,,auxiliary,"not have to, there is no need for"
1446,個人的,,na-adjective,"private, personal, individual"
1447,活躍,,noun,"activity, action"
1447,活躍する,,verb,"be active, flourish"
1448,試験,,noun,"exam, test, trial"
1448,試験する,,verb,examine
1449,身近,,na-adjective,"familiar, close"
1450,苦しい,,i-adjective,"painful, hard, difficult"
1451,恥ずかしい,,i-adjective,"ashamed, embarrassed"
1452,金,きん,noun,"gold, money"
1453,ただ,,noun,"just, mere, only"
1454,検査,,noun,inspection
1454,検査する,,verb,inspect
1455,皮、革,,noun,"skin, hide, jacket"
1456,白,,noun,white; innocence
1457,足りる,,verb,"be sufficient, be enough, be worthy"
1458,代表,,noun,representative
1458,代表する,,verb,"represent, stand for"
1459,夕方,,"adverb, noun",evening
1460,下がる,,verb,"fall, drop, step back"
1461,実感,,noun,real feeling
1461,実感する,,verb,actually feel
1462,有する,,verb,have
1463,抜く,,verb,"pull, extract"
1464,回す,,verb,"turn, rotate, spin"
1465,敵,てき,noun,"enemy, opponent"
1466,側,がわ,noun,side
1467,分かれる,,verb,"divide, split, part"
1468,見つめる,,verb,"stare, gaze"
1469,祭り,,noun,festival
1470,抜ける,,verb,fall out; come loose; be omitted; leave
1471,仕様,,noun,"style, specification, method"
1472,最大,,noun,"biggest, largest"
1473,スタート,,noun,start
1473,スタートする,,verb,"get off, start"
1474,なり,,particle,"or, whether or not"
1475,沖縄,,noun,Okinawa
1476,設ける,,verb,"institute, set up"
1477,でもって,,compound,"by, with, in"
1478,幼稚園,,noun,"preschool, kindergarten"
1479,二度,,noun,twice
1480,処理,,noun,"management, processing"
1480,処理する,,verb,"manage, process"
1481,困難,,noun,difficulty
1481,困難,,na-adjective,difficult
1482,あくまで,,adverb,"only, to the last"
1483,分野,,noun,"field, discipline"
1484,間違う,,verb,"be wrong, make a mistake"
1485,姿勢,,noun,"posture, attitude"
1486,ショック,,noun,shock
1487,暇,,"na-adjective, noun","free, not busy"
1488,つい,,adverb,"without thinking, unintentionally"
1489,土,つち,noun,soil
1490,隠す,,verb,"hide, conceal"
1491,緊張,,noun,tension
1491,緊張する,,verb,get tense
1492,それとも,,conjunction,or
1493,帰り,,noun,return
1494,三日,,noun,third (date); three days
1495,戦う,,verb,fight
1496,単に,,adverb,"just, simply"
1497,席,,noun,seat
1498,つる,,verb,hang
1499,達する,,verb,reach
1500,小学生,,noun,"elementary school pupil, primary school pupil"
1501,ついに,,adverb,"at last, finally"
1502,具合,,noun,condition
1503,歯,,noun,tooth
1504,ベッド,,noun,bed
1505,無事,,adverb,safely
1505,無事,,noun,safety
1505,無事,,na-adjective,safe
1506,身体,,noun,body
1507,何年,,noun,"what year, how many years"
1508,星,,noun,star
1509,携帯電話,,noun,cell phone
1510,砂糖,,noun,sugar
1511,切れる,,verb,"expire, run out"
1512,維持,,noun,"maintenance, preservation"
1512,維持する,,verb,"keep, maintain"
1513,高さ,,noun,height
1514,太陽,,noun,sun
1515,会場,,noun,hall; site
1516,素敵,,na-adjective,"lovely, nice, wonderful"
1517,湯,,noun,hot water
1518,そもそも,,"adverb, noun",in the first place
1519,約束,,noun,"promise, appointment"
1519,約束する,,verb,"promise, make an appointment"
1520,ワイン,,noun,wine
1521,高校生,,noun,high school student
1522,イベント,,noun,event
1523,二日,,noun,second (date); two days
1524,売れる,,verb,sell
1525,少なくとも,,adverb,at least
1526,米国,,noun,United States
1527,周囲,,noun,surroundings
1528,伺う,,verb,"ask, inquire"
1529,引っ越す,,verb,move (house)
1530,二十年,,noun,twenty years
1531,たまる,,verb,"accumulate, build up"
1532,精神的,,na-adjective,spiritual
1533,中学校,,noun,junior high school
1534,仲良く,,adverb,friendly
1535,言い方,,noun,way to say
1536,バランス,,noun,balance
1537,五年,,noun,five years
1538,安定,,noun,stability
1538,安定する,,verb,become stable
1539,完成,,noun,completion
1539,完成する,,verb,complete
1540,我が家,,noun,"one’s house, one’s family, one’s home"
1541,見かける,,verb,see
1542,広げる,,verb,"spread, expand"
1543,参考,,noun,reference
1544,たとえ,,adverb,even if
1545,受け取る,,verb,"get, accept"
1546,冷たい,,i-adjective,cold
1547,望む,,verb,hope
1548,適用,,noun,application
1548,適用する,,verb,apply
1549,宗教,,noun,religion
1550,一年間,,noun,one year
1551,範囲,,noun,"extent, range"
1552,接する,,verb,"adjoin, come in contact"
1553,戻す,,verb,"put back, restore"
1554,すっかり,,adverb,"entirely, completely"
1555,低下,,noun,"decline, fall"
1555,低下する,,verb,"decline, fall"
1556,政治,,noun,politics
1557,なんら,,adverb,nothing
1558,取り組む,,verb,"tackle, deal with"
1559,余裕,,noun,leeway
1560,パリ,,noun,Paris
1561,にて,,case particle,by; in; at
1562,奥さん,,noun,wife
1563,遅れる,,verb,"be late, be delayed"
1564,担当,,noun,charge
1564,担当する,,verb,be in charge of
1565,向上,,noun,"improvement, progress"
1565,向上する,,verb,"improve, advance"
1566,機械,,noun,machine
1567,CD (CD),,noun,"CD, compact disk"
1568,寄る,,verb,stop by; move to one side
1569,都市,,noun,city
1570,費用,,noun,cost
1571,運転,,noun,"driving, operation"
1571,運転する,,verb,drive
1572,生地,,noun,"cloth, material; dough"
1573,さあ,,interjection,"come on, now, well"
1574,だけでなく,,compound,not only
1575,予想,,noun,expectation
1575,予想する,,verb,expect
1576,一層,,"adverb, noun",more
1577,旦那,,noun,husband
1578,経る,,verb,"pass through, experience"
1579,揃う,,verb,become complete; be equal
1580,下げる,,verb,lower; hang
1581,誘う,,verb,invite
1582,重ねる,,verb,stack; repeat
1583,採用,,noun,"adoption, employment"
1583,採用する,,verb,employ
1584,価格,,noun,price
1585,飾る,,verb,decorate
1586,がん,,noun,cancer.
1587,土,ど,noun,Saturday
1588,週,,noun,week
1589,細い,,i-adjective,"thin, narrow, slender"
1590,直る,,verb,be repaired; be corrected; get better
1591,単純,,na-adjective,simple
1592,ファックス,,noun,fax
1592,ファックスする,,verb,fax
1593,アルバイト,,noun,part-time job
1594,北,,noun,north
1595,一生,,noun,life
1596,ファン,,noun,fan
1597,及ぶ,,verb,reach
1598,後,のち,"noun, adverb","after, later"
1599,調子,,noun,"condition, tone"
1600,基準,,noun,standard
1601,植物,,noun,plant
1602,契約,,"noun, verb",contract
1603,組む,,verb,pair with; cross
1604,叫ぶ,,verb,shout
1605,若者,,noun,youth
1606,手段,,noun,means
1607,下ろす,,verb,take down; unload; withdraw; fillet (fish); grate
1608,明治,,noun,Meiji period
1609,形成,,noun,formation
1609,形成する,,verb,take form
1610,マンガ,,noun,"comics, cartoon"
1611,ドラマ,,noun,"TV drama, drama"
1612,いよいよ,,adverb,"finally, at last"
1613,高齢者,,noun,senior citizen
1614,無駄,,na-adjective,"useless, futile"
1614,無駄,,noun,waste
1615,髪,,noun,hair
1616,管理,,noun,"control, management"
1616,管理する,,verb,"manage, control"
1617,サッカー,,noun,"football, soccer"
1618,工場,,noun,factory
1619,正確,,na-adjective,"correct, exact, accurate"
1620,夫婦,,noun,(married) couple
1621,監督,,noun,"manager, director, proctor, invigilator"
1621,監督する,,verb,"supervise, direct"
1622,鍋,,noun,"pan, pot; hot-pot"
1623,バイト,,noun,part-time job
1624,１０分,じゅっぷん,noun,ten minutes
1625,外す,,verb,"undo; take off, remove"
1626,何でも,,adverb,anything; nothing; everything
1627,階段,,noun,stairs
1628,オーストラリア,,noun,Australia
1629,そこで,,conjunction,so
1630,オーケー,,noun,O.K.
1631,発達,,noun,development
1631,発達する,,verb,develop
1632,適当,,na-adjective,"proper, appropriate, suitable; irresponsible, whimsical"
1633,戦い,,noun,"fight, battle"
1634,挟む,,verb,"put in, sandwich between; catch in"
1635,鼻,,noun,nose
1636,会,かい,noun,"meeting, gathering"
1637,数年,,noun,several years
1638,現代,,noun,"the present age, today"
1639,回復,,noun,recovery
1639,回復する,,verb,recover
1640,すみません,,interjection,Thank you; I am sorry; Excuse me
1641,コーヒー,,noun,coffee
1642,塗る,,verb,spread; paint
1643,老人,,noun,"old person, the old"
1644,共通,,"noun, verb",common
1645,一瞬,,"noun, adverb","a moment, an instant"
1646,面倒,,na-adjective,troublesome
1646,面倒,,noun,"bother, care"
1647,開始,,noun,"beginning, start"
1647,開始する,,verb,"begin, start"
1648,翌日,,noun,next day
1649,しまう,,verb,put away
1650,商店街,,noun,shopping street
1651,原則,,noun,principle
1652,販売,,noun,sale
1652,販売する,,verb,sell
1653,諦める,,verb,"give up, quit"
1654,場面,,noun,"scene, sight"
1655,障害,,noun,"obstacle, handicap"
1656,やや,,adverb,"a little, slightly"
1657,一定,,"noun, verb","a certain, fixed, constant"
1658,いかが,,na-adjective,how
1659,上手,じょうず,na-adjective,"good, skillful"
1660,関連,,noun,"relation, connection"
1660,関連する,,verb,"be related, be connected"
1661,笑顔,,noun,smile
1662,真ん中,,noun,middle
1663,ビール,,noun,beer
1664,正月,,noun,New Year
1665,すら,,particle,even
1666,デザイン,,noun,design
1666,デザインする,,verb,design
1667,わざわざ,,adverb,"take the trouble, especially"
1668,あふれる,,verb,"overflow, be filled with"
1669,葉,,noun,leaf
1670,種,しゅ,noun,"kind, species"
1671,迷惑,,na-adjective,"troublesome, annoying"
1671,迷惑,,noun,"annoyance, nuisance, trouble"
1671,迷惑する,,verb,be inconvenienced
1672,つかむ,,verb,"catch, grasp"
1673,締める,,verb,tie; tighten
1674,ラジオ,,noun,radio
1675,入る,いる,verb,"come in, enter; join"
1676,じっと,,"adverb, verb","still, fixedly, intently"
1677,うなずく,,verb,nod
1678,餌,,noun,feed; bait
1679,背中,,noun,back
1680,両方,,noun,both
1681,床,ゆか,noun,floor
1682,囲む,,verb,surround
1683,並べる,,verb,arrange; line up; enumerate
1684,黙る,,verb,"hold one’s tongue, become silent"
1685,きり,,particle,only
1686,風景,,noun,"scenery, landscape"
1687,ごとし,,auxiliary,"like, as if (Classical)"
1688,保存,,noun,"preservation, storage"
1688,保存する,,verb,"preserve, store"
1689,社長,,noun,company president
1690,目立つ,,verb,"be conspicuous, stand out"
1691,保護,,noun,protection
1691,保護する,,verb,protect
1692,確実,,na-adjective,"certain, sure"
1693,経済,,noun,economy; finance
1694,等,とう,suffix,and so on
1695,演奏,,noun,(musical) performance
1695,演奏する,,verb,"perform, play"
1696,増やす,,verb,"increase, add"
1697,温泉,,noun,"hot spring, spa"
1698,工夫,,noun,"device, idea"
1698,工夫する,,verb,"devise, plan"
1699,触る,,verb,touch
1700,教室,,noun,"classroom, ... school"
1701,登録,,noun,"registration, entry"
1701,登録する,,verb,"register, enroll"
1702,長さ,,noun,length
1703,資格,,noun,qualification; capacity
1704,明確,,na-adjective,"clear, definite"
1705,記載,,noun,registration entry
1705,記載する,,verb,"record, write down"
1706,肌,,noun,skin
1707,倒れる,,verb,"fall (down), collapse"
1708,症状,,noun,symptom
1709,普及,,noun,"spread, diffusion"
1709,普及する,,verb,spread
1710,すると,,conjunction,"then, if so"
1711,優れる,,verb,be superior
1712,返事,,noun,"answer, reply"
1712,返事する,,verb,"answer, reply"
1713,職場,,noun,workplace
1714,取り出す,,verb,"take out, extract"
1715,骨,ほね,noun,bone
1716,平和,,noun,peace
1716,平和,,na-adjective,peaceful
1717,間違い,,noun,"mistake, error"
1718,まい,,auxiliary,INTENTION OF NEGATION
1719,けんか,,noun,"fight, quarrel"
1719,けんかする,,verb,"fight, quarrel"
1720,偉い,,i-adjective,"great, big"
1721,くださる,,verb,give (honorific)
1722,熱い,,i-adjective,"hot, heated"
1723,当日,,noun,"that day, current day"
1724,残り,,noun,"rest, remainder"
1725,支援,,noun,"support, assistance"
1725,支援する,,verb,"support, assist"
1726,実行,,noun,practice
1726,実行する,,verb,carry out
1727,握る,,verb,"hold, grasp, clasp"
1728,出会い,,noun,encounter
1729,体重,,noun,(body) weight
1730,上司,,noun,boss
1731,結論,,noun,conclusion
1732,け,,discourse particle,QUESTION ABOUT SOMETHING SPEAKER FORGOT
1733,テーブル,,noun,table
1734,盛ん,,na-adjective,popular; active; prosperous
1735,急ぐ,,verb,hurry
1736,ともかく,,adverb,"in any case, anyway"
1737,犯人,,noun,"criminal, culprit"
1738,熱,,noun,fever; heat
1739,犯罪,,noun,"crime, offense"
1740,批判,,noun,criticism
1740,批判する,,verb,criticize
1741,出発,,noun,departure
1741,出発する,,verb,leave
1742,遊び,,noun,"play, game"
1743,教師,,noun,teacher
1744,横浜,,noun,Yokohama
1745,脳,,noun,brain
1746,レストラン,,noun,restaurant
1747,そろそろ,,adverb,soon; slowly
1748,日曜日,,noun,Sunday
1749,けが,,noun,injury
1749,けがする,,verb,"hurt, injure"
1750,兄弟,,noun,brother; sister; sibling
1751,楽器,,noun,musical instrument
1752,保つ,,verb,"keep, maintain"
1753,自動車,,noun,car
1754,ほんの,,adnominal,"just, nothing but, only"
1755,カメラ,,noun,camera
1756,寺,,noun,temple
1757,ビデオ,,noun,video
1758,適切,,na-adjective,"suitable, proper"
1759,見事,,na-adjective,excellent
1759,見事,,adverb,completely
1760,底,,noun,bottom; sole
1761,刺激,,"noun, verb","stimulate, incite, excite"
1762,勢い,,noun,speed; force; vigor
1763,吹く,,verb,blow; breathe out; play (musical instrument)
1764,今日,こんにち,adverb,"today, these days"
1765,迷う,,verb,get lost; cannot decide
1766,背,せ,noun,stature; back
1767,生,なま,noun,raw; fresh; live
1768,訴える,,verb,sue; complain; appeal
1769,精神,,noun,"mind, spirit"
1770,把握,,noun,grasp
1770,把握する,,verb,grasp
1771,対する,,verb,"toward, against; compare, receive"
1772,十二,,numeral,twelve
1773,じゃ,,auxiliary,"COPULA is, are"
1774,地震,,noun,earthquake
1775,応援,,noun,support
1775,応援する,,verb,"cheer, support"
1776,人類,,noun,"human race, mankind"
1777,上昇,,noun,rise
1777,上昇する,,verb,rise
1778,空間,,noun,space
1779,複雑,,na-adjective,"complicated, complex"
1780,特定,,noun,specific
1780,特定する,,verb,specify
1781,高める,,verb,raise
1782,以外,,noun,except
1783,観点,,noun,"viewpoint, standpoint"
1784,努める,,verb,make efforts
1785,二時間,,noun,two hours
1786,きつい,,i-adjective,"tight; hard, severe; strong"
1787,祖母,,noun,grandmother
1788,プラス,,noun,"plus, benefit"
1788,プラスする,,verb,"benefit, add to"
1789,大抵,,adverb,usually
1790,狙う,,verb,aim at
1791,知り合い,,noun,acquaintance
1792,迫る,,verb,"approach, draw near; demand"
1793,どうぞ,,adverb,please
1794,消す,,verb,"put out, turn off; erase"
1795,唯一,,"noun, adverb",only
1796,連中,,noun,"company, crowd; those guys"
1797,青い,,i-adjective,blue; pale; unripe
1798,終了,,noun,end
1798,終了する,,verb,"end, be over"
1799,をもって,,compound,by; with; as of
1800,前提,,noun,"assumption, premise"
1801,四つ,,numeral,four
1802,未来,,noun,future
1803,僕ら,,pronoun,we
1804,立ち上がる,,verb,"stand up, rise"
1805,同,,noun,same
1806,推移,,noun,"transition, change"
1806,推移する,,verb,"change, shift"
1807,なくす,,verb,lose
1808,有効,,na-adjective,valid; effective
1809,次々,,adverb,one after another
1810,上で,,compound,after; in the context of
1811,国内,,noun,"domestic, home"
1812,が,,conjunction,but
1813,都合,,noun,"convenience, circumstances"
1813,都合する,,verb,arrange
1813,都合,,adverb,altogether
1814,主な,,adnominal,"main, chief"
1815,ふと,,adverb,casually; suddenly
1816,四年,,noun,four years
1817,無視,,"noun, verb","neglect, ignore"
1818,一気,,"adverb, noun","at a stretch, in one gulp"
1819,手続き,,noun,"procedure, formalities"
1820,波,,noun,wave
1821,仲,,noun,"relations, terms"
1822,中学生,,noun,junior high school student
1823,イタリア,,noun,Italy
1824,のぞく,,verb,"look through, look down; drop in"
1825,誕生,,noun,birth
1825,誕生する,,verb,"be born, be created"
1826,汚い,,i-adjective,dirty; unfair; vulgar
1827,畑,,noun,"field (for fruit, vegetables); garden"
1828,履く,,verb,"put on, wear"
1829,膝,,noun,"knee, lap"
1830,提案,,noun,proposal
1830,提案する,,verb,propose
1831,業務,,noun,"business, work"
1832,幸い,,na-adjective,"lucky, fortunate"
1832,幸い,,noun,happiness
1832,幸い,,adverb,fortunately
1833,かわいそう,,na-adjective,"pitiful, miserable"
1834,画像,,noun,"picture, image"
1835,孫,,noun,grandchild
1836,つなぐ,,verb,"connect, tie"
1837,包む,,verb,wrap
1838,思い切る,,verb,give up; venture
1839,事態,,noun,situation
1840,夜中,よなか,noun,middle of the night
1841,改める,,verb,change; reform
1842,集中,,noun,concentration
1842,集中する,,verb,concentrate
1843,両手,,noun,"both hands, both arms"
1844,指示,,noun,"instruction, direction"
1844,指示する,,verb,"instruct, direct"
1845,結婚式,,noun,wedding ceremony
1846,虫,,noun,"insect, bug; worm"
1847,バイク,,noun,"motorcycle, motorbike"
1848,確立,,noun,establishment
1848,確立する,,verb,establish
1849,到着,,noun,arrival
1849,到着する,,verb,arrive
